regional_fuel_market,fuel
CA_SDGE-Bio_Solid,Bio_Solid
ID_S_OR_E-Bio_Solid,Bio_Solid
CA_LADWP-Bio_Solid,Bio_Solid
OR_W-Bio_Solid,Bio_Solid
WA_W-Bio_Solid,Bio_Solid
OR_WA_BPA-Bio_Solid,Bio_Solid
AZ_APS_N-Bio_Solid,Bio_Solid
CA_SMUD-Bio_Solid,Bio_Solid
CA_SCE_S-Bio_Solid,Bio_Solid
WY_NE-Bio_Solid,Bio_Solid
AZ_NW-Bio_Solid,Bio_Solid
CA_PGE_BAY-Bio_Solid,Bio_Solid
CA_PGE_S-Bio_Solid,Bio_Solid
CA_PGE_CEN-Bio_Solid,Bio_Solid
CO_NW-Bio_Solid,Bio_Solid
MT_NE-Bio_Solid,Bio_Solid
CA_SCE_CEN-Bio_Solid,Bio_Solid
AZ_APS_SW-Bio_Solid,Bio_Solid
CO_SW-Bio_Solid,Bio_Solid
CO_E-Bio_Solid,Bio_Solid
ID_E-Bio_Solid,Bio_Solid
NM_N-Bio_Solid,Bio_Solid
UT_N-Bio_Solid,Bio_Solid
MT_SE-Bio_Solid,Bio_Solid
NM_S_TX_EPE-Bio_Solid,Bio_Solid
CA_IID-Bio_Solid,Bio_Solid
UT_S-Bio_Solid,Bio_Solid
CA_SCE_SE-Bio_Solid,Bio_Solid
CA_SCE_VLY-Bio_Solid,Bio_Solid
OR_E-Bio_Solid,Bio_Solid
MT_SW-Bio_Solid,Bio_Solid
OR_PDX-Bio_Solid,Bio_Solid
CAN_ALB-Bio_Solid,Bio_Solid
WY_NW-Bio_Solid,Bio_Solid
MEX_BAJA-Bio_Solid,Bio_Solid
MT_NW-Bio_Solid,Bio_Solid
WY_SW-Bio_Solid,Bio_Solid
AZ_PHX-Bio_Solid,Bio_Solid
NV_S-Bio_Solid,Bio_Solid
AZ_NM_N-Bio_Solid,Bio_Solid
WA_N_CEN-Bio_Solid,Bio_Solid
AZ_APS_E-Bio_Solid,Bio_Solid
WY_SE-Bio_Solid,Bio_Solid
CO_DEN-Bio_Solid,Bio_Solid
WA_SEATAC-Bio_Solid,Bio_Solid
WA_ID_AVA-Bio_Solid,Bio_Solid
CA_PGE_N-Bio_Solid,Bio_Solid
NV_N-Bio_Solid,Bio_Solid
CAN_BC-Bio_Solid,Bio_Solid
AZ_SE-Bio_Solid,Bio_Solid
CA_SDGE-Bio_Gas,Bio_Gas
ID_S_OR_E-Bio_Gas,Bio_Gas
CA_LADWP-Bio_Gas,Bio_Gas
OR_W-Bio_Gas,Bio_Gas
WA_W-Bio_Gas,Bio_Gas
OR_WA_BPA-Bio_Gas,Bio_Gas
AZ_APS_N-Bio_Gas,Bio_Gas
CA_SMUD-Bio_Gas,Bio_Gas
CA_SCE_S-Bio_Gas,Bio_Gas
WY_NE-Bio_Gas,Bio_Gas
AZ_NW-Bio_Gas,Bio_Gas
CA_PGE_BAY-Bio_Gas,Bio_Gas
CA_PGE_S-Bio_Gas,Bio_Gas
CA_PGE_CEN-Bio_Gas,Bio_Gas
CO_NW-Bio_Gas,Bio_Gas
MT_NE-Bio_Gas,Bio_Gas
CA_SCE_CEN-Bio_Gas,Bio_Gas
AZ_APS_SW-Bio_Gas,Bio_Gas
CO_SW-Bio_Gas,Bio_Gas
CO_E-Bio_Gas,Bio_Gas
ID_E-Bio_Gas,Bio_Gas
NM_N-Bio_Gas,Bio_Gas
UT_N-Bio_Gas,Bio_Gas
MT_SE-Bio_Gas,Bio_Gas
NM_S_TX_EPE-Bio_Gas,Bio_Gas
CA_IID-Bio_Gas,Bio_Gas
UT_S-Bio_Gas,Bio_Gas
CA_SCE_SE-Bio_Gas,Bio_Gas
CA_SCE_VLY-Bio_Gas,Bio_Gas
OR_E-Bio_Gas,Bio_Gas
MT_SW-Bio_Gas,Bio_Gas
OR_PDX-Bio_Gas,Bio_Gas
CAN_ALB-Bio_Gas,Bio_Gas
WY_NW-Bio_Gas,Bio_Gas
MEX_BAJA-Bio_Gas,Bio_Gas
MT_NW-Bio_Gas,Bio_Gas
WY_SW-Bio_Gas,Bio_Gas
AZ_PHX-Bio_Gas,Bio_Gas
NV_S-Bio_Gas,Bio_Gas
AZ_NM_N-Bio_Gas,Bio_Gas
WA_N_CEN-Bio_Gas,Bio_Gas
AZ_APS_E-Bio_Gas,Bio_Gas
WY_SE-Bio_Gas,Bio_Gas
CO_DEN-Bio_Gas,Bio_Gas
WA_SEATAC-Bio_Gas,Bio_Gas
WA_ID_AVA-Bio_Gas,Bio_Gas
CA_PGE_N-Bio_Gas,Bio_Gas
NV_N-Bio_Gas,Bio_Gas
CAN_BC-Bio_Gas,Bio_Gas
AZ_SE-Bio_Gas,Bio_Gas
