load_zone,regional_fuel_market
AZ_APS_E,AZ_APS_E-Bio_Solid
AZ_APS_N,AZ_APS_N-Bio_Solid
AZ_APS_SW,AZ_APS_SW-Bio_Solid
AZ_NM_N,AZ_NM_N-Bio_Solid
AZ_NW,AZ_NW-Bio_Solid
AZ_PHX,AZ_PHX-Bio_Solid
AZ_SE,AZ_SE-Bio_Solid
CA_IID,CA_IID-Bio_Solid
CA_LADWP,CA_LADWP-Bio_Solid
CAN_ALB,CAN_ALB-Bio_Solid
CAN_BC,CAN_BC-Bio_Solid
CA_PGE_BAY,CA_PGE_BAY-Bio_Solid
CA_PGE_CEN,CA_PGE_CEN-Bio_Solid
CA_PGE_N,CA_PGE_N-Bio_Solid
CA_PGE_S,CA_PGE_S-Bio_Solid
CA_SCE_CEN,CA_SCE_CEN-Bio_Solid
CA_SCE_S,CA_SCE_S-Bio_Solid
CA_SCE_SE,CA_SCE_SE-Bio_Solid
CA_SCE_VLY,CA_SCE_VLY-Bio_Solid
CA_SDGE,CA_SDGE-Bio_Solid
CA_SMUD,CA_SMUD-Bio_Solid
CO_DEN,CO_DEN-Bio_Solid
CO_E,CO_E-Bio_Solid
CO_NW,CO_NW-Bio_Solid
CO_SW,CO_SW-Bio_Solid
ID_E,ID_E-Bio_Solid
ID_S_OR_E,ID_S_OR_E-Bio_Solid
MEX_BAJA,MEX_BAJA-Bio_Solid
MT_NE,MT_NE-Bio_Solid
MT_NW,MT_NW-Bio_Solid
MT_SE,MT_SE-Bio_Solid
MT_SW,MT_SW-Bio_Solid
NM_N,NM_N-Bio_Solid
NM_S_TX_EPE,NM_S_TX_EPE-Bio_Solid
NV_N,NV_N-Bio_Solid
NV_S,NV_S-Bio_Solid
OR_E,OR_E-Bio_Solid
OR_PDX,OR_PDX-Bio_Solid
OR_W,OR_W-Bio_Solid
OR_WA_BPA,OR_WA_BPA-Bio_Solid
UT_N,UT_N-Bio_Solid
UT_S,UT_S-Bio_Solid
WA_ID_AVA,WA_ID_AVA-Bio_Solid
WA_N_CEN,WA_N_CEN-Bio_Solid
WA_SEATAC,WA_SEATAC-Bio_Solid
WA_W,WA_W-Bio_Solid
WY_NE,WY_NE-Bio_Solid
WY_NW,WY_NW-Bio_Solid
WY_SE,WY_SE-Bio_Solid
WY_SW,WY_SW-Bio_Solid
AZ_APS_E,AZ_APS_E-Bio_Gas
AZ_APS_N,AZ_APS_N-Bio_Gas
AZ_APS_SW,AZ_APS_SW-Bio_Gas
AZ_NM_N,AZ_NM_N-Bio_Gas
AZ_NW,AZ_NW-Bio_Gas
AZ_PHX,AZ_PHX-Bio_Gas
AZ_SE,AZ_SE-Bio_Gas
CA_IID,CA_IID-Bio_Gas
CA_LADWP,CA_LADWP-Bio_Gas
CAN_ALB,CAN_ALB-Bio_Gas
CAN_BC,CAN_BC-Bio_Gas
CA_PGE_BAY,CA_PGE_BAY-Bio_Gas
CA_PGE_CEN,CA_PGE_CEN-Bio_Gas
CA_PGE_N,CA_PGE_N-Bio_Gas
CA_PGE_S,CA_PGE_S-Bio_Gas
CA_SCE_CEN,CA_SCE_CEN-Bio_Gas
CA_SCE_S,CA_SCE_S-Bio_Gas
CA_SCE_SE,CA_SCE_SE-Bio_Gas
CA_SCE_VLY,CA_SCE_VLY-Bio_Gas
CA_SDGE,CA_SDGE-Bio_Gas
CA_SMUD,CA_SMUD-Bio_Gas
CO_DEN,CO_DEN-Bio_Gas
CO_E,CO_E-Bio_Gas
CO_NW,CO_NW-Bio_Gas
CO_SW,CO_SW-Bio_Gas
ID_E,ID_E-Bio_Gas
ID_S_OR_E,ID_S_OR_E-Bio_Gas
MEX_BAJA,MEX_BAJA-Bio_Gas
MT_NE,MT_NE-Bio_Gas
MT_NW,MT_NW-Bio_Gas
MT_SE,MT_SE-Bio_Gas
MT_SW,MT_SW-Bio_Gas
NM_N,NM_N-Bio_Gas
NM_S_TX_EPE,NM_S_TX_EPE-Bio_Gas
NV_N,NV_N-Bio_Gas
NV_S,NV_S-Bio_Gas
OR_E,OR_E-Bio_Gas
OR_PDX,OR_PDX-Bio_Gas
OR_W,OR_W-Bio_Gas
OR_WA_BPA,OR_WA_BPA-Bio_Gas
UT_N,UT_N-Bio_Gas
UT_S,UT_S-Bio_Gas
WA_ID_AVA,WA_ID_AVA-Bio_Gas
WA_N_CEN,WA_N_CEN-Bio_Gas
WA_SEATAC,WA_SEATAC-Bio_Gas
WA_W,WA_W-Bio_Gas
WY_NE,WY_NE-Bio_Gas
WY_NW,WY_NW-Bio_Gas
WY_SE,WY_SE-Bio_Gas
WY_SW,WY_SW-Bio_Gas
