TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
1-2,2050,0
1-34,2050,0
1-4,2050,0
1-6,2050,0
1-7,2050,0
10-17,2050,0
10-18,2050,0
10-20,2050,0
10-28,2050,0
11-16,2050,0
11-17,2050,0
12-13,2050,0
12-14,2050,0
12-21,2050,0
13-15,2050,0
13-19,2050,0
13-21,2050,0
13-35,2050,0
14-21,2050,0
14-35,2050,2990.4
14-37,2050,0
15-16,2050,0
15-19,2050,309.55
16-17,2050,7518.7
16-18,2050,0
16-19,2050,216.51
16-35,2050,0
16-36,2050,0
17-18,2050,1065.5
17-20,2050,0
18-36,2050,0
2-3,2050,0
2-4,2050,0
2-42,2050,0
2-5,2050,0
2-6,2050,0
20-28,2050,5262.9
22-23,2050,0
22-24,2050,0
22-49,2050,0
23-24,2050,0
23-25,2050,0
23-33,2050,0
24-25,2050,0
24-41,2050,0
24-42,2050,0
24-49,2050,0
24-50,2050,952.68
25-33,2050,0
25-42,2050,0
26-27,2050,1668.6
26-32,2050,2750.1
26-41,2050,0
26-48,2050,0
26-50,2050,0
27-30,2050,0
27-32,2050,1.377e-05
27-35,2050,0
27-37,2050,0
27-40,2050,0
27-43,2050,0
29-31,2050,6070.7
29-32,2050,3599.7
3-10,2050,0
3-18,2050,0
3-28,2050,0
3-5,2050,0
3-6,2050,3362.7
3-7,2050,0
30-32,2050,0
30-43,2050,939.03
31-32,2050,0
31-47,2050,417.86
31-48,2050,315.46
32-48,2050,0
33-34,2050,0
35-36,2050,0
35-37,2050,2224.4
35-41,2050,0
35-42,2050,0
36-42,2050,0
37-39,2050,0
37-40,2050,0
38-39,2050,594.27
38-40,2050,0
38-46,2050,0
39-40,2050,0
39-46,2050,0
4-25,2050,0
4-33,2050,0
4-34,2050,0
4-42,2050,0
40-43,2050,0
40-44,2050,0
40-46,2050,0
41-42,2050,96.981
41-50,2050,0
43-44,2050,0
44-46,2050,0
45-46,2050,0
47-48,2050,1.4059e-05
47-49,2050,0
48-49,2050,0
48-50,2050,0
49-50,2050,0
5-18,2050,0
5-36,2050,0
6-7,2050,0
7-34,2050,0
8-29,2050,10727
8-30,2050,0
8-9,2050,1510.8
9-43,2050,0
9-44,2050,3564.5
9-46,2050,0
