gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Bio_Gas,Bio_Gas,2050,11899,1.0923e+08,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,Bio_Gas,2050,0,0.00022171,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,Bio_Liquid,2050,0,0.0064714,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,Bio_Solid,2050,367.82,6.1958e+06,0,0,0,0
CCGT,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,Gas,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,Solar,2050,0,0,0,0,0,0
Central_PV,Solar,2050,1.0415e+06,0,0,0,0,0
Coal_IGCC,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine_Cogen,Coal,2050,0,0,0,0,0,0
Commercial_PV,Solar,2050,2744.9,0,0,0,0,0
Gas_Combustion_Turbine,Gas,2050,0,0,0,0,0,0
Gas_Combustion_Turbine_Cogen,Gas,2050,0,0,0,0,0,0
Gas_Internal_Combustion_Engine_Cogen,Gas,2050,0,0,0,0,0,0
Gas_Steam_Turbine,Gas,2050,0,0,0,0,0,0
Gas_Steam_Turbine_Cogen,Gas,2050,0,0,0,0,0,0
Geothermal,Geothermal,2050,0,0,0,0,0,0
Hydro_NonPumped,Water,2050,2.3741e+05,0,0,0,0,0
Hydro_Pumped,Water,2050,2717.1,0,0,0,0,0
LDES,Electricity,2050,5.8529e+05,0,0,0,0,0
Nuclear,Uranium,2050,42792,2.3108e+07,0,0,0,0
Offshore_Wind,Wind,2050,5.3059e-05,0,0,0,0,0
Residential_PV,Solar,2050,0.00051764,0,0,0,0,0
ST,Waste_Heat,2050,14.82,85214,0,0,0,0
Wind,Wind,2050,2.6114e+05,0,0,0,0,0
