generation_project,build_year,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh
154496,2016,CA_IID,30,20
154886,2012,CA_SCE_S,1,6.8
155173,2016,CA_SCE_S,20,20
155315,2018,CA_SCE_S,0.3,0.5
155606,2016,CA_SCE_S,10,10
155610,2016,CA_SCE_S,10,10
155912,2015,CA_SDGE,2.5,2.5
156265,2017,CA_PGE_N,0.5,1
156340,2011,NM_N,0.8,1.3
156418,2013,CA_PGE_N,2,14
156419,2013,CA_PGE_BAY,4,28
156533,2016,CA_SCE_CEN,8,32
156604,2015,WA_SEATAC,1,0.5
156604,2016,WA_SEATAC,1,0.5
156605,2017,WA_SEATAC,2.4,8
156657,2016,CA_SDGE,2,2
156710,2013,OR_W,5,1.3
156711,2016,WA_W,2,4.4
156730,2012,CA_SDGE,0.5,1.5
156730,2014,CA_SDGE,1,3
156731,2012,CA_SDGE,0.5,1.1667
156731,2015,CA_SDGE,1,2.33
156732,2015,CA_SDGE,2,6
156733,2014,CA_SDGE,1,3
156734,2017,CA_SDGE,7.5,30
156735,2017,CA_SDGE,30,120
156742,2016,CA_SCE_S,20,80
156756,2016,CA_SCE_S,2,8
156781,2017,CA_SCE_S,2,1
156789,2017,AZ_SE,10,2.5
156800,2017,CA_SDGE,2,8
156817,2017,AZ_SE,10,2.5
156856,2018,CA_SCE_CEN,20,10
156857,2017,CO_DEN,1,2.2
156897,2018,CA_SDGE,40,40
156899,2018,AZ_SE,10,40
156906,2018,CA_SCE_S,5.5,33.5
156907,2018,CA_SCE_S,5.8,34.8
156934,2018,AZ_APS_E,2,8
156935,2018,NM_N,1,12.6
156940,2018,CA_PGE_CEN,0.5,0.9
156968,2018,CO_DEN,4,4
157015,2019,AZ_APS_SW,10,40
157017,2021,CA_PGE_CEN,300,1200
157019,2020,CA_PGE_CEN,182.5,730
157030,2020,CA_IID,3,12
157031,2019,CA_PGE_BAY,0.5,0.5
157037,2019,CA_SDGE,1,4
157038,2021,CA_SDGE,6.5,26
157061,2022,CA_PGE_CEN,40,160
157065,2021,CA_SCE_S,100,400
157069,2020,CA_PGE_S,10,40
157074,2021,NV_S,20,80
157081,2020,CA_SCE_S,2.4,3.6
157082,2019,CA_SCE_S,27.8,111.2
157083,2020,CA_SCE_S,1.4,3.7
157084,2021,CA_SCE_S,9,36
157085,2021,CA_SCE_S,6,24
157086,2021,CA_SCE_S,15,60
157093,2019,CA_PGE_N,1,2
157095,2022,CA_PGE_CEN,25,100
157096,2022,CA_PGE_CEN,10,40
157127,2021,OR_WA_BPA,30,120
157131,2020,CA_PGE_S,10,40
157139,2020,CA_SCE_CEN,2,6
5011_1,2050,AZ_APS_E,868.74,3133
5011_10,2050,CA_IID,7505.1,57040
5011_11,2050,CA_LADWP,635.08,5209.6
5011_12,2050,CA_PGE_BAY,5399.4,38945
5011_13,2050,CA_PGE_CEN,8940.9,59850
5011_14,2050,CA_PGE_N,15452,1.1752e+05
5011_15,2050,CA_PGE_S,7167.6,48971
5011_16,2050,CA_SCE_CEN,38003,2.9234e+05
5011_17,2050,CA_SCE_S,9166.7,71024
5011_18,2050,CA_SCE_SE,3082.2,21228
5011_19,2050,CA_SCE_VLY,1844.5,11529
5011_2,2050,AZ_APS_N,0.0012234,0.0044574
5011_20,2050,CA_SDGE,2945.2,12549
5011_21,2050,CA_SMUD,1101.8,7104.1
5011_22,2050,CO_DEN,0.0014089,0.0060668
5011_23,2050,CO_E,694.12,3428.1
5011_24,2050,CO_NW,649.46,4709.6
5011_25,2050,CO_SW,1138.2,9080.7
5011_26,2050,ID_E,3237.8,25144
5011_27,2050,ID_S_OR_E,4275.4,36606
5011_28,2050,MEX_BAJA,14166,1.0634e+05
5011_29,2050,MT_NE,124.75,854.26
5011_3,2050,AZ_APS_SW,8948.9,76196
5011_30,2050,MT_NW,592.36,2740.3
5011_31,2050,MT_SE,0.00063158,0.0026953
5011_32,2050,MT_SW,52.259,222.67
5011_33,2050,NM_N,44.051,476.59
5011_34,2050,NM_S_TX_EPE,3619.3,29753
5011_35,2050,NV_N,12261,97909
5011_36,2050,NV_S,16556,1.2619e+05
5011_37,2050,OR_E,1047.6,5883.5
5011_38,2050,OR_PDX,0.00090721,0.0038805
5011_39,2050,OR_W,7398.2,53362
5011_4,2050,AZ_NM_N,3179.8,15910
5011_40,2050,OR_WA_BPA,0.00027701,0.0019937
5011_41,2050,UT_N,1668.4,18051
5011_42,2050,UT_S,8271.6,54619
5011_43,2050,WA_ID_AVA,0.00014556,0.0010346
5011_44,2050,WA_N_CEN,0.0001382,0.00097701
5011_45,2050,WA_SEATAC,981.15,4909.1
5011_46,2050,WA_W,0.011206,0.047889
5011_47,2050,WY_NE,819.49,5910.8
5011_48,2050,WY_NW,936.57,6755.3
5011_49,2050,WY_SE,906,7598.2
5011_5,2050,AZ_NW,2306.1,18753
5011_50,2050,WY_SW,198.64,2149.1
5011_6,2050,AZ_PHX,6125.9,33168
5011_7,2050,AZ_SE,17277,1.3497e+05
5011_8,2050,CAN_ALB,16557,3.0027e+05
5011_9,2050,CAN_BC,1332.5,9460.7
