,from,to,value,from_to
0,AZ_APS_E,AZ_APS_N,0.281,AZ_APS_EAZ_APS_N
1,AZ_APS_E,AZ_NM_N,3.498,AZ_APS_EAZ_NM_N
2,AZ_APS_E,AZ_PHX,2.928,AZ_APS_EAZ_PHX
3,AZ_APS_E,AZ_SE,4.138,AZ_APS_EAZ_SE
4,AZ_APS_E,NM_S_TX_EPE,0.657,AZ_APS_ENM_S_TX_EPE
5,AZ_APS_N,AZ_APS_SW,3.9,AZ_APS_NAZ_APS_SW
6,AZ_APS_N,AZ_NM_N,2.00602,AZ_APS_NAZ_NM_N
7,AZ_APS_N,AZ_NW,0.484,AZ_APS_NAZ_NW
8,AZ_APS_N,AZ_PHX,4.006,AZ_APS_NAZ_PHX
9,AZ_APS_N,NV_S,3.5500000000000003,AZ_APS_NNV_S
10,AZ_APS_N,UT_S,0.387,AZ_APS_NUT_S
11,AZ_APS_SW,AZ_NW,0.896,AZ_APS_SWAZ_NW
12,AZ_APS_SW,AZ_PHX,10.847,AZ_APS_SWAZ_PHX
13,AZ_APS_SW,AZ_SE,4.273,AZ_APS_SWAZ_SE
14,AZ_APS_SW,CA_IID,2.21,AZ_APS_SWCA_IID
15,AZ_APS_SW,CA_SCE_S,2.338,AZ_APS_SWCA_SCE_S
16,AZ_APS_SW,CA_SCE_SE,1.266,AZ_APS_SWCA_SCE_SE
17,AZ_APS_SW,MEX_BAJA,0.279,AZ_APS_SWMEX_BAJA
18,AZ_APS_SW,NV_S,1.905,AZ_APS_SWNV_S
19,AZ_NM_N,CO_SW,2.793,AZ_NM_NCO_SW
20,AZ_NM_N,NM_N,3.845,AZ_NM_NNM_N
22,AZ_NM_N,UT_S,1.026,AZ_NM_NUT_S
23,AZ_NW,CA_SCE_SE,1.249,AZ_NWCA_SCE_SE
24,AZ_NW,NV_S,1.5270000000000001,AZ_NWNV_S
25,AZ_PHX,AZ_SE,2.063,AZ_PHXAZ_SE
26,AZ_SE,NM_S_TX_EPE,0.717,AZ_SENM_S_TX_EPE
27,CA_IID,CA_SCE_S,1.754,CA_IIDCA_SCE_S
28,CA_IID,CA_SCE_SE,1.685,CA_IIDCA_SCE_SE
29,CA_IID,CA_SDGE,5.196,CA_IIDCA_SDGE
30,CA_IID,MEX_BAJA,2.608,CA_IIDMEX_BAJA
31,CA_LADWP,CA_SCE_CEN,11.689,CA_LADWPCA_SCE_CEN
32,CA_LADWP,CA_SCE_S,10.524000000000001,CA_LADWPCA_SCE_S
33,CA_LADWP,OR_WA_BPA,3.1,CA_LADWPOR_WA_BPA
34,CAN_ALB,CAN_BC,1.3690000000000004,CAN_ALBCAN_BC
35,CAN_ALB,MT_NE,0.541,CAN_ALBMT_NE
38,CAN_BC,WA_ID_AVA,0.506,CAN_BCWA_ID_AVA
40,CAN_BC,WA_W,5.196,CAN_BCWA_W
41,CA_PGE_BAY,CA_PGE_CEN,12.281,CA_PGE_BAYCA_PGE_CEN
42,CA_PGE_BAY,CA_PGE_N,10.201,CA_PGE_BAYCA_PGE_N
43,CA_PGE_BAY,CA_SMUD,0.75,CA_PGE_BAYCA_SMUD
44,CA_PGE_CEN,CA_PGE_N,0.325,CA_PGE_CENCA_PGE_N
45,CA_PGE_CEN,CA_PGE_S,9.975,CA_PGE_CENCA_PGE_S
46,CA_PGE_CEN,CA_SCE_VLY,1.541,CA_PGE_CENCA_SCE_VLY
47,CA_PGE_CEN,CA_SMUD,1.942,CA_PGE_CENCA_SMUD
49,CA_PGE_N,CA_SMUD,7.2170000000000005,CA_PGE_NCA_SMUD
50,CA_PGE_N,NV_N,0.311,CA_PGE_NNV_N
51,CA_PGE_N,OR_E,6.958,CA_PGE_NOR_E
52,CA_PGE_N,OR_W,0.129,CA_PGE_NOR_W
53,CA_PGE_S,CA_SCE_CEN,9.676,CA_PGE_SCA_SCE_CEN
54,CA_PGE_S,CA_SCE_VLY,1.541,CA_PGE_SCA_SCE_VLY
55,CA_SCE_CEN,CA_SCE_S,13.804,CA_SCE_CENCA_SCE_S
58,CA_SCE_CEN,NV_N,0.054,CA_SCE_CENNV_N
59,CA_SCE_CEN,NV_S,9.923,CA_SCE_CENNV_S
60,CA_SCE_CEN,UT_S,1.92,CA_SCE_CENUT_S
62,CA_SCE_S,CA_SDGE,4.78,CA_SCE_SCA_SDGE
63,CA_SCE_SE,NV_S,0.718,CA_SCE_SENV_S
64,CA_SDGE,MEX_BAJA,0.796,CA_SDGEMEX_BAJA
65,CO_DEN,CO_E,8.13,CO_DENCO_E
66,CO_DEN,CO_NW,2.2840000000000003,CO_DENCO_NW
67,CO_DEN,WY_SE,2.03496,CO_DENWY_SE
69,CO_E,CO_SW,0.319,CO_ECO_SW
70,CO_E,NM_N,0.612,CO_ENM_N
71,CO_E,WY_SE,1.5070000000000001,CO_EWY_SE
72,CO_NW,CO_SW,2.415,CO_NWCO_SW
73,CO_NW,UT_N,1.43,CO_NWUT_N
75,CO_NW,WY_SE,0.32,CO_NWWY_SE
79,ID_E,ID_S_OR_E,4.234,ID_EID_S_OR_E
80,ID_E,MT_SW,0.484,ID_EMT_SW
81,ID_E,UT_N,4.5520000000000005,ID_EUT_N
83,ID_E,WY_SW,3.236,ID_EWY_SW
86,ID_S_OR_E,NV_N,1.076,ID_S_OR_ENV_N
87,ID_S_OR_E,OR_E,3.259,ID_S_OR_EOR_E
88,ID_S_OR_E,OR_WA_BPA,0.8240000000000001,ID_S_OR_EOR_WA_BPA
89,ID_S_OR_E,WA_ID_AVA,0.35000000000000003,ID_S_OR_EWA_ID_AVA
90,MT_NE,MT_NW,0.47800000000000004,MT_NEMT_NW
91,MT_NE,MT_SE,0.6940000000000001,MT_NEMT_SE
92,MT_NE,MT_SW,0.5670000000000001,MT_NEMT_SW
93,MT_NW,MT_SW,7.922000000000001,MT_NWMT_SW
94,MT_NW,WA_ID_AVA,6.789,MT_NWWA_ID_AVA
95,MT_SE,MT_SW,6.986,MT_SEMT_SW
96,MT_SE,WY_NE,0.327,MT_SEWY_NE
97,MT_SE,WY_NW,0.53698,MT_SEWY_NW
99,NM_N,NM_S_TX_EPE,0.897,NM_NNM_S_TX_EPE
101,NV_N,OR_E,1.287,NV_NOR_E
103,NV_N,UT_S,0.761,NV_NUT_S
104,NV_S,UT_S,0.3,NV_SUT_S
105,OR_E,OR_W,2.5140000000000002,OR_EOR_W
106,OR_E,OR_WA_BPA,10.167,OR_EOR_WA_BPA
107,OR_PDX,OR_W,6.4030000000000005,OR_PDXOR_W
108,OR_PDX,OR_WA_BPA,7.152,OR_PDXOR_WA_BPA
109,OR_PDX,WA_W,8.834,OR_PDXWA_W
110,OR_W,OR_WA_BPA,12.062,OR_WOR_WA_BPA
111,OR_W,WA_W,0.17,OR_WWA_W
112,OR_WA_BPA,WA_ID_AVA,7.5360000000000005,OR_WA_BPAWA_ID_AVA
113,OR_WA_BPA,WA_N_CEN,14.989,OR_WA_BPAWA_N_CEN
115,UT_N,UT_S,8.248,UT_NUT_S
116,UT_N,WY_SW,2.4130000000000003,UT_NWY_SW
117,WA_ID_AVA,WA_N_CEN,5.863,WA_ID_AVAWA_N_CEN
118,WA_N_CEN,WA_SEATAC,2.013,WA_N_CENWA_SEATAC
119,WA_N_CEN,WA_W,14.819,WA_N_CENWA_W
120,WA_SEATAC,WA_W,23.514999979452,WA_SEATACWA_W
122,WY_NE,WY_SE,1.6480000000000001,WY_NEWY_SE
123,WY_NW,WY_SE,0.914,WY_NWWY_SE
124,WY_NW,WY_SW,0.38,WY_NWWY_SW
125,WY_SE,WY_SW,0.804,WY_SEWY_SW
