scenario_name,Canada,"OR, WA",California,Idaho,Montana,"CO, UT, WY",Nevada,"AZ, NM, MEX"
1.94,56.01879145886012,50.12117781906651,45.73473195600534,44.113825320512824,42.670126846959825,41.37964208368123,38.85782601602404,36.985630412281594
2.0,55.26814104124633,49.62391884683809,45.161755725973364,43.53810210882143,42.07075106091621,40.83428484633672,38.27746703296703,36.3531907539179
2.5,52.56305827608356,48.25345184099531,43.55918576537374,41.966919606301964,40.25763031851557,39.02897081869295,36.46501256341529,34.53711336996337
3.0,51.840398152904534,47.78301328893504,43.01072304219006,41.6173490441076,39.771292732909,38.51096623901341,35.990323042952376,34.02611904458507
4.0,51.48829300152289,47.43427083905678,42.63635181310836,41.292438644688644,39.600599979151326,38.35740263736264,35.775416619347524,33.97835761446886
8.0,51.13219208335233,46.12796715560068,41.506500061739665,40.25442653702541,39.076539455547966,37.584944002219046,35.06392928113553,33.64551064285715
12.0,51.02376937352793,44.86432052394351,39.479568894505455,38.995328165421014,38.624473732388964,36.76672277054025,34.01902017618521,33.28009864849556
16.0,50.32163584935898,43.722619060210626,38.10897168078449,37.76503424221612,37.88574535599817,35.51342964697802,32.98875562271063,32.34199953891941
18.0,50.01993232698214,43.072523472218755,37.837196152789915,37.18462109900618,37.613225035209815,34.81213275673219,32.41312947451809,31.748194462933014
20.0,49.692814712674675,42.14919090402959,36.6207011636888,36.47304555732303,37.28604865460542,34.04078617666524,31.48708764859661,31.003472963628298
24.0,49.37096893772894,41.6328644459707,35.83711047008547,35.94261366758242,37.25712869734433,33.50928673076923,30.940575457875454,30.531248933150184
32.0,49.25352435897436,41.60280211767399,35.45109079288767,35.34815265567765,37.01430021749084,32.952721130952376,30.661285622710622,30.05325205128205
48.0,48.714306506417124,41.20262372069059,34.72587737757055,34.26750473714972,37.42880105776431,31.8726508339294,30.29662860345833,29.148966685510167
64.0,47.86474313186813,39.93784449404762,34.039185401404154,33.509887087912084,37.64406842948718,31.74247162087912,29.96923289835165,28.971133484432233
